,State,Trump,Clinton,2018 Population,Total Votes,Winning Votes,Necessary Votes,Excess Votes
0,Alabama,1306925,718084,4888949,2025009,1306925,718085,588840
1,Alaska,116454,163387,738068,279841,163387,116455,46932
2,Arizona,972900,888374,7123898,1861274,972900,888375,84525
3,Arkansas,677904,378729,3020327,1056633,677904,378730,299174
4,California,2970470,5488776,39776830,8459246,5488776,2970471,2518305
5,Colorado,1136354,1208095,5684203,2344449,1208095,1136355,71740
6,Connecticut,637919,823360,3588683,1461279,823360,637920,185440
7,Delaware,185103,235581,971180,420684,235581,185104,50477
8,District of Columbia,282830,12723,703608,295553,282830,12724,270106
9,Florida,4605515,4485745,21312211,9091260,4605515,4485746,119769
10,Georgia,2068623,1837300,10545138,3905923,2068623,1837301,231322
11,Hawaii,128815,266827,1426393,395642,266827,128816,138011
12,Idaho,407199,189677,1753860,596876,407199,189678,217521
13,Illinois,2118179,2977498,12768320,5095677,2977498,2118180,859318
14,Indiana,1556220,1031953,6699629,2588173,1556220,1031954,524266
15,Iowa,798923,650790,3160553,1449713,798923,650791,148132
16,Kansas,656009,414788,2918515,1070797,656009,414789,241220
17,Kentucky,1202942,628834,4472265,1831776,1202942,628835,574107
18,Louisiana,1178004,779535,4682509,1957539,1178004,779536,398468
19,Maine,334838,354873,1341582,689711,354873,334839,20034
20,Maryland,873646,1497951,6079602,2371597,1497951,873647,624304
21,Massachusetts,1083069,1964768,6895917,3047837,1964768,1083070,881698
22,Michigan,2279210,2267373,9991177,4546583,2279210,2267374,11836
23,Minnesota,1322871,1366653,5628162,2689524,1366653,1322872,43781
24,Mississippi,678457,462001,2982785,1140458,678457,462002,216455
25,Missouri,1585753,1054889,6135888,2640642,1585753,1054890,530863
26,Montana,274120,174521,1062330,448641,274120,174522,99598
27,Nebraska,485819,273858,1932549,759677,485819,273859,211960
28,Nevada,511319,537753,3056824,1049072,537753,511320,26433
29,New Hampshire,345598,348126,1350575,693724,348126,345599,2527
30,New Jersey,1516915,1979768,9032872,3496683,1979768,1516916,462852
31,New Mexico,315875,380724,2090708,696599,380724,315876,64848
32,New York,2637678,4143541,19862512,6781219,4143541,2637679,1505862
33,North Carolina,2339603,2162074,10390149,4501677,2339603,2162075,177528
34,North Dakota,216133,93526,755238,309659,216133,93527,122606
35,Ohio,2771984,2317001,11694664,5088985,2771984,2317002,454982
36,Oklahoma,947934,419788,3940521,1367722,947934,419789,528145
37,Oregon,742506,934631,4199563,1677137,934631,742507,192124
38,Pennsylvania,2912941,2844705,12823989,5757646,2912941,2844706,68235
39,Rhode Island,166590,227052,1061712,393642,227052,166591,60461
40,South Carolina,1143611,849469,5088916,1993080,1143611,849470,294141
41,South Dakota,227701,117442,877790,345143,227701,117443,110258
42,Tennessee,1517402,867110,6782564,2384512,1517402,867111,650291
43,Texas,4681590,3867816,28704330,8549406,4681590,3867817,813773
44,Utah,375006,222858,3159345,597864,375006,222859,152147
45,Vermont,95050,178117,623960,273167,178117,95051,83066
46,Virginia,1731156,1916845,8525660,3648001,1916845,1731157,185688
47,Washington,835385,1221435,7530552,2056820,1221435,835386,386049
48,West Virginia,486198,187457,1803077,673655,486198,187458,298740
49,Wisconsin,1409467,1382210,5818049,2791677,1409467,1382211,27256
50,Wyoming,174248,55949,573720,230197,174248,55950,118298
